dataset,factor,cost_change_pct,roi_storage_sens,name,Province,cost_change_label
counties,0.7,-30,0.045495582363269206,南皮县,河北省,-30%
counties,0.7,-30,0.04595926658767201,盐山县,河北省,-30%
counties,0.7,-30,0.03972985790300012,兰坪白族普米族自治县,云南省,-30%
counties,0.7,-30,0.038025649103262074,奈曼旗,内蒙古自治区,-30%
counties,0.7,-30,0.03725097340491243,库伦旗,内蒙古自治区,-30%
counties,0.7,-30,0.036748442652902676,科尔沁左翼中旗,内蒙古自治区,-30%
counties,0.7,-30,0.03524505090573015,科尔沁左翼后旗,内蒙古自治区,-30%
counties,0.7,-30,0.04126428983021619,左权县,山西省,-30%
counties,0.7,-30,0.04392569150251422,和顺县,山西省,-30%
counties,0.7,-30,0.046561217242177336,海兴县,河北省,-30%
counties,0.7,-30,0.030087719814581027,乃东区,西藏自治区,-30%
counties,0.7,-30,0.049158412451424494,横山区,陕西省,-30%
counties,0.7,-30,0.01263010715368203,班玛县,青海省,-30%
counties,0.7,-30,0.013271609693438585,玛沁县,青海省,-30%
counties,0.7,-30,0.01729624138292852,玛多县,青海省,-30%
counties,0.7,-30,0.04398393669418311,清涧县,陕西省,-30%
counties,0.7,-30,0.012736364923291766,久治县,青海省,-30%
counties,0.7,-30,0.04641165630577926,子洲县,陕西省,-30%
counties,0.7,-30,0.013473558307061975,达日县,青海省,-30%
counties,0.7,-30,0.014167295184716941,甘德县,青海省,-30%
counties,0.7,-30,0.06089282148915777,康定市,四川省,-30%
counties,0.7,-30,0.04505355180139657,吴堡县,陕西省,-30%
counties,0.7,-30,0.04730597226591427,米脂县,陕西省,-30%
counties,0.7,-30,0.048056584858435294,佳县,陕西省,-30%
counties,0.7,-30,0.048844756635282816,定边县,陕西省,-30%
counties,0.7,-30,0.04557718572449765,绥德县,陕西省,-30%
counties,0.7,-30,0.0601430558251931,丹巴县,四川省,-30%
