dataset,Province,factor,cost_change_pct,cost_change_label,n,mean_roi,median_roi,roi_gt_003_ratio,roi_gt_003_count,baseline_mean_roi,delta_mean_roi_vs_base
poverty,江西省,1.0,0,0%,24,0.04137716883595669,0.04210894822067181,1.0,24,0.04137716883595669,0.0
poverty,江西省,1.1,10,10%,24,0.04082792173408591,0.04155130225579174,1.0,24,0.04137716883595669,-0.0005492471018707784
poverty,江西省,1.2,20,20%,24,0.040285242638017756,0.04100036785797763,1.0,24,0.04137716883595669,-0.001091926197938936
poverty,江西省,1.3,30,30%,24,0.039749014354738266,0.04045602458607078,1.0,24,0.04137716883595669,-0.001628154481218426
poverty,河北省,0.7,-30,-30%,45,0.051654061512446545,0.0470518060998272,1.0,45,0.04721035401697925,0.004443707495467297
poverty,河北省,0.8,-20,-20%,45,0.05012803014896533,0.045670045046584416,1.0,45,0.04721035401697925,0.0029176761319860828
poverty,河北省,0.9,-10,-10%,45,0.04864746645484249,0.04432707693082179,1.0,45,0.04721035401697925,0.001437112437863243
poverty,河北省,1.0,0,0%,45,0.04721035401697925,0.04302129070027567,1.0,45,0.04721035401697925,0.0
poverty,河北省,1.1,10,10%,45,0.04581479472296495,0.0417511632929315,1.0,45,0.04721035401697925,-0.0013955592940142966
poverty,河北省,1.2,20,20%,45,0.04445900015473863,0.04051525371077786,1.0,45,0.04721035401697925,-0.0027513538622406172
poverty,河北省,1.3,30,30%,45,0.043141283727405284,0.03931219756616196,1.0,45,0.04721035401697925,-0.004069070289573963
poverty,河南省,0.7,-30,-30%,38,0.028554885807946774,0.028387941509336115,0.39473684210526316,15,0.024488511863101987,0.004066373944844787
poverty,河南省,0.8,-20,-20%,38,0.027150940030446706,0.02699101911306259,0.07894736842105263,3,0.024488511863101987,0.0026624281673447193
poverty,河南省,0.9,-10,-10%,38,0.025796334732756915,0.02564301362614205,0.02631578947368421,1,0.024488511863101987,0.001307822869654928
poverty,河南省,1.0,0,0%,38,0.024488511863101987,0.0243413998030443,0.0,0,0.024488511863101987,0.0
poverty,河南省,1.1,10,10%,38,0.023225087321034236,0.02308382327457891,0.0,0,0.024488511863101987,-0.001263424542067751
poverty,河南省,1.2,20,20%,38,0.02200383640825675,0.021868086334778422,0.0,0,0.024488511863101987,-0.0024846754548452366
poverty,河南省,1.3,30,30%,38,0.020822680716648338,0.020692135123240498,0.0,0,0.024488511863101987,-0.003665831146453649
poverty,海南省,0.7,-30,-30%,5,0.05435575587968422,0.05428782078961066,1.0,5,0.050349599581072726,0.0040061562986114935
poverty,海南省,0.8,-20,-20%,5,0.05298528788874708,0.05291945629842153,1.0,5,0.050349599581072726,0.0026356883076743554
poverty,海南省,0.9,-10,-10%,5,0.05165035742295841,0.05158653547531052,1.0,5,0.050349599581072726,0.0013007578418856858
poverty,海南省,1.0,0,0%,5,0.050349599581072726,0.0502876988231266,1.0,5,0.050349599581072726,0.0
poverty,海南省,1.1,10,10%,5,0.04908171848988804,0.04902165549450603,1.0,5,0.050349599581072726,-0.0012678810911846833
poverty,海南省,1.2,20,20%,5,0.04784548299405119,0.04778717901267974,1.0,5,0.050349599581072726,-0.0025041165870215362
poverty,海南省,1.3,30,30%,5,0.04663972266490683,0.04658310330842469,1.0,5,0.050349599581072726,-0.003709876916165894
