county_id,county_name,j,k,direct_h2_revenue,sensitivity_h2_revenue,h2_revenue_diff,h2_revenue_diff_pct,direct_pv_revenue,sensitivity_pv_revenue,pv_revenue_diff,pv_revenue_diff_pct,direct_other_revenue,sensitivity_other_revenue,other_revenue_diff,other_revenue_diff_pct,direct_total_revenue,sensitivity_total_revenue,total_revenue_diff,total_revenue_diff_pct
3,绿春县,0,2,10518631.833469683,10518631.833469683,0.0,0.0,0,66227935.68148351,66227935.68148351,inf,145179.03311820136,145179.03311820136,0.0,0.0,10663810.866587885,76891746.5480714,66227935.681483515,621.0531723606475
3,绿春县,1,0,11773855.23226373,11773855.23226373,0.0,0.0,0,66227935.68148351,66227935.68148351,inf,145179.03311820136,145179.03311820136,0.0,0.0,11919034.265381932,78146969.94686544,66227935.68148351,555.6485047940358
3,绿春县,1,1,11773855.23226373,11773855.23226373,0.0,0.0,0,66227935.68148351,66227935.68148351,inf,145179.03311820136,145179.03311820136,0.0,0.0,11919034.265381932,78146969.94686544,66227935.68148351,555.6485047940358
3,绿春县,1,2,11773855.23226373,11773855.23226373,0.0,0.0,0,66227935.68148351,66227935.68148351,inf,145179.03311820136,145179.03311820136,0.0,0.0,11919034.265381932,78146969.94686544,66227935.68148351,555.6485047940358
3,绿春县,3,0,27392270.399660636,27392270.399660636,0.0,0.0,0,66227935.68148351,66227935.68148351,inf,145179.03311820136,145179.03311820136,0.0,0.0,27537449.432778835,93765385.11426234,66227935.68148351,240.50134288272162
3,绿春县,3,1,27392270.399660636,27392270.399660636,0.0,0.0,0,66227935.68148351,66227935.68148351,inf,145179.03311820136,145179.03311820136,0.0,0.0,27537449.432778835,93765385.11426234,66227935.68148351,240.50134288272162
3,绿春县,3,2,27392270.399660636,27392270.399660636,0.0,0.0,0,66227935.68148351,66227935.68148351,inf,145179.03311820136,145179.03311820136,0.0,0.0,27537449.432778835,93765385.11426234,66227935.68148351,240.50134288272162
4,金平苗族瑶族傣族自治县,0,0,9778631.718898386,9778631.718898386,0.0,0.0,0,61568709.960113965,61568709.960113965,inf,134965.4898702121,134965.4898702121,0.0,0.0,9913597.208768599,71482307.16888256,61568709.960113965,621.0531723606473
4,金平苗族瑶族傣族自治县,0,1,9778631.718898386,9778631.718898386,0.0,0.0,0,61568709.960113965,61568709.960113965,inf,134965.4898702121,134965.4898702121,0.0,0.0,9913597.208768599,71482307.16888256,61568709.960113965,621.0531723606473
4,金平苗族瑶族傣族自治县,0,2,9778631.718898386,9778631.718898386,0.0,0.0,0,61568709.960113965,61568709.960113965,inf,134965.4898702121,134965.4898702121,0.0,0.0,9913597.208768599,71482307.16888256,61568709.960113965,621.0531723606473
4,金平苗族瑶族傣族自治县,1,0,10945548.437353592,10945548.437353592,0.0,0.0,0,61568709.960113965,61568709.960113965,inf,134965.4898702121,134965.4898702121,0.0,0.0,11080513.927223805,72649223.88733776,61568709.96011396,555.6485047940357
4,金平苗族瑶族傣族自治县,1,1,10945548.437353592,10945548.437353592,0.0,0.0,0,61568709.960113965,61568709.960113965,inf,134965.4898702121,134965.4898702121,0.0,0.0,11080513.927223805,72649223.88733776,61568709.96011396,555.6485047940357
4,金平苗族瑶族傣族自治县,1,2,10945548.437353592,10945548.437353592,0.0,0.0,0,61568709.960113965,61568709.960113965,inf,134965.4898702121,134965.4898702121,0.0,0.0,11080513.927223805,72649223.88733776,61568709.96011396,555.6485047940357
