County_storage,LCOE_storage,NPV_storage,IRR_storage,ROI_storage,poverty_storage,mean_value_day_count
张北县,0.2586548506234395,2627.8563454263663,0.10592968946421587,0.06151104143777177,,
尚义县,0.2602070247547323,2567.9583504884695,0.1044233973965948,0.060864025168265536,,
蔚县,0.28016379134251984,1865.9056639211665,0.08617497719813448,0.053167577856888706,,
康保县,0.25476492771411297,2781.7159198992927,0.10976602341938073,0.06316620866415049,,
沽源县,0.25988368807205897,2580.367088220959,0.10473604948801381,0.06099818662041192,,
延寿县,0.29812923435105976,1453.2984129292747,0.07502195757467399,0.04862886415472385,,
海原县,0.30041531565155744,-1162.5440523635928,-0.0067757559930159295,0.017128492134604215,,
天峻县,0.27251578024690026,-1384.2125265350687,-0.012724109713604666,0.014699533611115326,,
都兰县,0.2744501588439836,-1424.8757777344917,-0.014271435078654285,0.014261025852424721,,
乌兰县,0.2695870639576667,-1321.2501196481376,-0.010372082010776948,0.015374958214367471,,
沧源佤族自治县,0.30008889470194605,563.2653656839277,0.04813707110817665,0.03799046152277472,,
双江拉祜族佤族布朗族傣族自治县,0.30018298060564663,560.9233505840814,0.048065058535136436,0.03796353798144874,,
耿马傣族佤族自治县,0.29815535072948984,611.7691792702361,0.04962274275745455,0.038547435590346395,,
永德县,0.30503179201616587,442.4496960019809,0.04438800499614661,0.03659796471850925,,
镇康县,0.3042440232063933,461.4053739308081,0.04498091713579421,0.03681693251188029,,
凤庆县,0.3088855043517967,351.3018355476894,0.041511709376357515,0.03554251312136923,,
云县,0.3091686007411042,344.70775911902456,0.04130196654747572,0.03546599240742622,,
德令哈市,0.2662290184698666,-1246.9067221150597,-0.0076603185526555595,0.01616696003562858,,
格尔木市,0.27314129842749874,-1397.4407488624754,-0.013224984075011922,0.014557080490312447,,
茫崖市,0.2647637809108157,-1213.721222600787,-0.006471714998952886,0.016518584613275687,,
灵台县,0.3496463498091313,-1026.529287780953,-0.004006651433473885,0.018752492226456245,,
静宁县,0.3363301051173871,-791.2835764011566,0.0046004304126785805,0.02138870922789684,,
隆德县,0.32865130863101794,-1661.325840112213,-0.027000521183460635,0.01154724512538376,,
西吉县,0.32055565802014263,-1529.1742592774206,-0.021269544327407103,0.01305024810983511,,
彭阳县,0.3177653380277137,-1481.7369283829505,-0.019284053220698455,0.013585442032468396,,
泾源县,0.3293144006485459,-1671.8040842045266,-0.02746828350610552,0.01142730719141361,,
乐都区,0.2956848208988917,-1828.2431364538775,-0.03101641292211239,0.009811013954435939,,
平安区,0.2965661933240638,-1843.4510634902306,-0.03170482565970917,0.009639593635498257,,
饶河县,0.2935167962909035,1587.0875272615472,0.07875945799192818,0.05014112063275441,,
大柴旦行政委员会,0.2578110943508082,-1049.709141208091,-0.0007826605096625569,0.01823933321202307,,
临翔区,0.3028151958347876,496.07303305320505,0.04606071242434673,0.03721692728695609,,
五指山市,0.3347938792104746,1614.2691732293104,0.08101231273370171,0.051196358238757754,,
宜川县,0.3081178222805462,341.6901269470138,0.04119591652002777,0.035418737023466075,,
八宿县,0.2892633546014864,-1165.8854949270558,-0.006313680870900055,0.01707325533754566,,
左贡县,0.29085491816000986,-1198.4876340833018,-0.00751194657517852,0.016719554141579832,,
芒康县,0.28520885147900943,-1080.7925058101434,-0.003244949123262776,0.017991485544337184,,
洛隆县,0.2948888870222269,-1279.1810654656092,-0.010534220509988469,0.015839554326837535,,
贡觉县,0.28904463224896393,-1161.3704192443565,-0.0061487366495733276,0.017122156420283002,,
类乌齐县,0.29309181240596127,-1243.5713936473178,-0.009190389723462113,0.01622869733015139,,
丁青县,0.30155979595341853,-1406.823082641739,-0.015489976066821329,0.01443416034635881,,
察雅县,0.2844152739559309,-1063.785135517846,-0.0026414654724196836,0.018174158263902996,,
江达县,0.29986005047455433,-1374.9608874739524,-0.014231843560819885,0.014786526989223761,,
延长县,0.3016112667378204,497.3347821745836,0.04608537108805303,0.03721787172360269,,
