name,ROI_优化模型,ROI_直接计算,j,k,差异,相对差异(%)
五寨县,0.0409611627337125,0.040961162733712524,0,0,-2.0816681711721685e-17,-5.082053419003362e-14
岢岚县,0.0402312824223797,0.040231282422379715,0,0,-1.3877787807814457e-17,-3.44950172408488e-14
英山县,0.0435130686649485,0.04351306866494857,2,1,-6.938893903907228e-17,-1.5946689389656334e-13
罗田县,0.0432454683400926,0.04324546834009263,2,1,-2.7755575615628914e-17,-6.418146613039886e-14
红安县,0.0425350239743493,0.04253502397434931,2,1,-6.938893903907228e-18,-1.6313365447006024e-14
汉滨区,0.0134023627338138,0.013402362733813821,2,1,-2.0816681711721685e-17,-1.553209842560202e-13
蕲春县,0.0403767813708195,0.04037678137081957,2,1,-6.938893903907228e-17,-1.7185356703350282e-13
团风县,0.0420207464654096,0.04202074646540969,2,1,-9.020562075079397e-17,-2.1466924873657048e-13
同心县,0.0182096980159396,0.01820969801593969,2,1,-9.020562075079397e-17,-4.953713162724243e-13
盐池县,0.0191563665380546,0.019156366538054637,2,1,-3.8163916471489756e-17,-1.9922314806242671e-13
淅川县,0.01503907394473,0.015039073944730075,2,1,-7.45931094670027e-17,-4.959953634189111e-13
内乡县,0.0164541259639737,0.01645412596397374,2,1,-4.163336342344337e-17,-2.5302689133776837e-13
社旗县,0.0170705846693682,0.017070584669368293,2,1,-9.367506770274758e-17,-5.487513727098024e-13
南召县,0.0177223233368761,0.01772232333687619,2,1,-8.673617379884035e-17,-4.894176240333105e-13
镇平县,0.0164867542746344,0.016486754274634408,2,1,-6.938893903907228e-18,-4.208768923415702e-14
涟源市,0.0262089609358694,0.02620896093586945,2,1,-5.204170427930421e-17,-1.9856454594535339e-13
班戈县,0.021822664315883,0.021822664315883002,0,0,-3.469446951953614e-18,-1.589836557870927e-14
巴青县,0.0123583178102525,0.012358317810252595,2,1,-9.540979117872439e-17,-7.720289496000125e-13
尼玛县,0.0237761829649397,0.023776182964939725,0,0,-2.42861286636753e-17,-1.0214477529672252e-13
聂荣县,0.0166941091137271,0.01669410911372713,2,1,-3.122502256758253e-17,-1.8704216172821708e-13
安多县,0.0222747766100262,0.02227477661002626,2,1,-5.898059818321144e-17,-2.6478648569998796e-13
申扎县,0.0222099974278553,0.02220999742785538,0,0,-7.979727989493313e-17,-3.5928540808767867e-13
索县,0.0101578218493713,0.010157821849371385,2,1,-8.500145032286355e-17,-8.368078470299601e-13
鄂伦春自治旗,0.0230595901342687,0.023059590134268792,2,1,-9.020562075079397e-17,-3.9118483991066105e-13
莫力达瓦达斡尔族自治旗,0.0246549531303229,0.024654953130322954,2,1,-5.551115123125783e-17,-2.2515212638139253e-13
嘉黎县,0.0112609731111611,0.011260973111161154,2,1,-5.377642775528102e-17,-4.775468978074486e-13
比如县,0.01129123518366,0.011291235183660087,2,1,-8.673617379884035e-17,-7.681725904032102e-13
汤原县,0.0464959842270941,0.046495984227094125,2,1,-2.7755575615628914e-17,-5.969456519097662e-14
桦川县,0.04773673760158,0.04773673760158006,2,1,-5.551115123125783e-17,-1.1628601789792279e-13
澜沧拉祜族自治县,0.0329187719692071,0.03291877196920719,2,1,-9.020562075079397e-17,-2.7402486591897755e-13
石泉县,0.0127576605541593,0.012757660554159334,2,1,-3.2959746043559335e-17,-2.5835258669594867e-13
西盟佤族自治县,0.032285060952431,0.03228506095243101,2,1,-1.3877787807814457e-17,-4.298516836707252e-14
宁陕县,0.0172871936941807,0.01728719369418078,2,1,-8.326672684688674e-17,-4.816671133552232e-13
黔江区,0.0162807691366313,0.016280769136631366,2,1,-6.591949208711867e-17,-4.048917562426537e-13
江城哈尼族彝族自治县,0.0251883569522808,0.025188356952280888,2,1,-8.673617379884035e-17,-3.4435026454151517e-13
孟连傣族拉祜族佤族自治县,0.0336264065265495,0.03362640652654959,2,1,-9.020562075079397e-17,-2.682582829050511e-13
汉阴县,0.0123648700323765,0.012364870032376574,2,1,-7.28583859910259e-17,-5.892369737833972e-13
桦南县,0.0454210231621272,0.045421023162127205,2,1,-6.938893903907228e-18,-1.527683310686183e-14
景谷傣族彝族自治县,0.0317158456538045,0.031715845653804586,2,1,-8.326672684688674e-17,-2.6253982868938003e-13
镇沅彝族哈尼族拉祜族自治县,0.0295906516550514,0.029590651655051415,2,1,-1.3877787807814457e-17,-4.6899230100075816e-14
五台县,0.0366756412765504,0.03667564127655041,2,1,-6.938893903907228e-18,-1.8919625294578838e-14
墨江哈尼族自治县,0.0287000316068156,0.02870003160681568,2,1,-7.979727989493313e-17,-2.780389965702438e-13
代县,0.0378414780636288,0.03784147806362884,2,1,-4.163336342344337e-17,-1.1002044728125745e-13
景东彝族自治县,0.0283600830301712,0.02836008303017127,2,1,-6.938893903907228e-17,-2.4467114205995763e-13
宁洱哈尼族彝族自治县,0.0293834661168942,0.029383466116894297,2,1,-9.71445146547012e-17,-3.3060944637449376e-13
